side,n,seed,family,algo,rounds_eps3,conv_eps3,rounds_eps6,conv_eps6,maxr,alpha,secs,max_deg,edges,cost3_load,cost6_load,note
15,225,35,localrand,gossip,855,1,2457,1,40000,0.5,0.116,9,420,7695,22113,
15,225,40,flat,heat,701,1,1838,1,40000,0.5,0.182,4,420,2804,7352,
15,225,40,flat,pushsum,453,1,1178,1,40000,0.5,0.075,4,420,1812,4712,
15,225,40,flat,gossip,473,1,1235,1,40000,0.5,0.1,4,420,1892,4940,
15,225,40,curved,heat,159,1,393,1,40000,0.5,0.036,58,421,9222,22794,
15,225,40,curved,pushsum,141,1,327,1,40000,0.5,0.024,58,421,8178,18966,
15,225,40,curved,gossip,599,1,1699,1,40000,0.5,0.076,58,421,34742,98542,
15,225,40,localrand,heat,924,1,2257,1,40000,0.5,0.207,8,420,7392,18056,
15,225,40,localrand,pushsum,514,1,1362,1,40000,0.5,0.083,8,420,4112,10896,
15,225,40,localrand,gossip,695,1,1856,1,40000,0.5,0.104,8,420,5560,14848,
15,225,41,flat,heat,770,1,1907,1,40000,0.5,0.182,4,420,3080,7628,
15,225,41,flat,pushsum,498,1,1223,1,40000,0.5,0.097,4,420,1992,4892,
15,225,41,flat,gossip,521,1,1283,1,40000,0.5,0.121,4,420,2084,5132,
15,225,41,curved,heat,66,1,166,1,40000,0.5,0.006,122,420,8052,20252,
15,225,41,curved,pushsum,61,1,144,1,40000,0.5,0.005,122,420,7442,17568,
15,225,41,curved,gossip,1629,1,4168,1,40000,0.5,0.264,122,420,198738,508496,
15,225,41,localrand,heat,1258,1,3203,1,40000,0.5,0.09,9,420,11322,28827,
15,225,41,localrand,pushsum,746,1,1983,1,40000,0.5,0.033,9,420,6714,17847,
15,225,41,localrand,gossip,1056,1,2810,1,40000,0.5,0.042,9,420,9504,25290,
15,225,38,flat,heat,835,1,1973,1,40000,0.5,0.309,4,420,3340,7892,
15,225,38,flat,pushsum,533,1,1258,1,40000,0.5,0.191,4,420,2132,5032,
15,225,38,flat,gossip,558,1,1319,1,40000,0.5,0.137,4,420,2232,5276,
15,225,38,curved,heat,84,1,200,1,40000,0.5,0.035,84,421,7056,16800,
15,225,38,curved,pushsum,70,1,161,1,40000,0.5,0.01,84,421,5880,13524,
15,225,38,curved,gossip,770,1,2537,1,40000,0.5,0.135,84,421,64680,213108,
15,225,38,localrand,heat,1216,1,2842,1,40000,0.5,0.23,8,420,9728,22736,
15,225,38,localrand,pushsum,782,1,1812,1,40000,0.5,0.131,8,420,6256,14496,
15,225,38,localrand,gossip,1034,1,2402,1,40000,0.5,0.075,8,420,8272,19216,
15,225,37,flat,heat,730,1,1868,1,40000,0.5,0.238,4,420,2920,7472,
15,225,37,flat,pushsum,469,1,1194,1,40000,0.5,0.096,4,420,1876,4776,
15,225,37,flat,gossip,490,1,1252,1,40000,0.5,0.059,4,420,1960,5008,
15,225,37,curved,heat,76,1,183,1,40000,0.5,0.029,115,420,8740,21045,
15,225,37,curved,pushsum,60,1,142,1,40000,0.5,0.016,115,420,6900,16330,
15,225,37,curved,gossip,1601,1,4013,1,40000,0.5,0.183,115,420,184115,461495,
15,225,37,localrand,heat,914,1,2448,1,40000,0.5,0.123,9,420,8226,22032,
15,225,37,localrand,pushsum,556,1,1498,1,40000,0.5,0.03,9,420,5004,13482,
15,225,37,localrand,gossip,810,1,2165,1,40000,0.5,0.034,9,420,7290,19485,
15,225,31,flat,heat,573,1,1710,1,40000,0.5,0.18,4,420,2292,6840,
15,225,31,flat,pushsum,407,1,1132,1,40000,0.5,0.026,4,420,1628,4528,
15,225,31,flat,gossip,424,1,1186,1,40000,0.5,0.019,4,420,1696,4744,
15,225,31,curved,heat,87,1,228,1,40000,0.5,0.024,91,420,7917,20748,
15,225,31,curved,pushsum,68,1,181,1,40000,0.5,0.013,91,420,6188,16471,
15,225,31,curved,gossip,1000,1,2881,1,40000,0.5,0.148,91,420,91000,262171,
15,225,31,localrand,heat,1009,1,2647,1,40000,0.5,0.084,8,420,8072,21176,
15,225,31,localrand,pushsum,605,1,1656,1,40000,0.5,0.029,8,420,4840,13248,
15,225,31,localrand,gossip,783,1,2206,1,40000,0.5,0.032,8,420,6264,17648,
22,484,30,flat,heat,1530,1,4059,1,40000,0.5,0.987,4,924,6120,16236,
22,484,30,flat,pushsum,969,1,2571,1,40000,0.5,0.603,4,924,3876,10284,
22,484,30,flat,gossip,998,1,2654,1,40000,0.5,0.651,4,924,3992,10616,
