side,seed,family,nodes,edges,connected,mean_deg,max_deg,diam,mean_path_len,gromov_delta_max,delta_over_diam,lambda2_norm,build_secs,note
32,39,curved,1024,1988,1,3.8828,306,10,3.7581,1.0,0.1,0.0489236,30.43,
32,39,shuffled,1024,1988,1,3.8828,306,10,3.8042,1.0,0.1,0.09797722,30.43,connected_double_edge_swap
32,39,rreg4,1024,2048,1,4.0,4,9,5.6566,3.0,0.3333,0.13546911,30.43,rreg4_try0
32,40,flat,1024,1984,1,3.875,4,62,21.3333,20.0,0.3226,0.00252477,28.91,
32,40,curved,1024,1985,1,3.877,203,11,4.3084,1.0,0.0909,0.04321748,28.91,
32,40,shuffled,1024,1985,1,3.877,203,11,4.0413,1.5,0.1364,0.06529022,28.91,connected_double_edge_swap
32,40,rreg4,1024,2048,1,4.0,4,9,5.6576,3.0,0.3333,0.13131088,28.91,rreg4_try0
32,41,flat,1024,1984,1,3.875,4,62,21.3333,18.0,0.2903,0.00252477,29.74,
32,41,curved,1024,1987,1,3.8809,368,10,3.7408,0.5,0.05,0.0638305,29.74,
32,41,shuffled,1024,1987,1,3.8809,368,10,3.6204,1.5,0.15,0.10787296,29.74,connected_double_edge_swap
32,41,rreg4,1024,2048,1,4.0,4,9,5.6567,3.0,0.3333,0.14199374,29.74,rreg4_try0
